,ranges
Batrachoseps_major,27783.09371
Batrachoseps_minor,1132.798807
Batrachoseps_nigriventris,24772.34319
Batrachoseps_pacificus,512.4389935
Batrachoseps_regius,159.9805327
Batrachoseps_relictus,968.6259712
Batrachoseps_robustus,1449.972523
Batrachoseps_simatus,178.566677
Batrachoseps_stebbinsi,352.0104199
Batrachoseps_wrighti,11607.53199
Batrachuperus_karlschmidti,2974.136127
Batrachuperus_londongensis,1848.938453
Batrachuperus_pinchonii,139530.0962
Batrachuperus_taibaiensis,5110.267586
Batrachuperus_tibetanus,250725.8544
Batrachuperus_yenyuanensis,15895.19384
Batrachyla_antartandica,95835.85503
Batrachyla_fitzroya,2.456800699
Batrachyla_leptopus,119600.8221
Batrachyla_nibaldoi,1196.275391
Batrachyla_taeniata,145743.2427
Batrachylodes_elegans,7995.198828
Batrachylodes_gigas,144.114131
Batrachylodes_montanus,1045.166796
Batrachylodes_trossulus,3169.000628
Batrachylodes_vertebralis,26131.17487
Batrachylodes_wolfi,11347.34832
Blommersia_angolafa,23457.41801
Blommersia_blommersae,17718.3089
Blommersia_dejongi,1226.179265
Blommersia_domerguei,51576.74127
Blommersia_galani,1009.183931
Blommersia_grandisonae,64754.58646
Blommersia_kely,9244.392484
Blommersia_sarotra,6079.599383
Blommersia_variabilis,1345.634258
Blommersia_wittei,69086.0695
Boehmantis_microtympanum,4734.593273
Bokermannohyla_ahenea,9.122565504
Bokermannohyla_alvarengai,138493.0487
Bokermannohyla_astartea,72068.51696
Bokermannohyla_caramaschii,10922.73068
Bokermannohyla_carvalhoi,2150.52536
Bokermannohyla_circumdata,37925.25527
Bokermannohyla_claresignata,8464.48128
Bokermannohyla_clepsydra,5187.520828
Bokermannohyla_diamantina,62.08659365
Bokermannohyla_feioi,9.22751139
Bokermannohyla_gouveai,457.0029961
Bokermannohyla_hylax,61693.50857
Bokermannohyla_ibitiguara,7.723108001
Bokermannohyla_ibitipoca,1.421444304
Bokermannohyla_itapoty,2375.940522
Bokermannohyla_izecksohni,65.62673985
Bokermannohyla_langei,85.32137874
Bokermannohyla_lucianae,22.44979671
Bokermannohyla_luctuosa,13286.53179
Bokermannohyla_martinsi,21856.55589
Bokermannohyla_nanuzae,5137.046783
Bokermannohyla_oxente,7471.556429
Bokermannohyla_pseudopseudis,285763.6194
Bokermannohyla_ravida,10.71525367
Bokermannohyla_sagarana,2057.774814
Bokermannohyla_saxicola,91668.15945
Bokermannohyla_sazimai,21326.49379
Bokermannohyla_vulcaniae,112.2607348
Bolitoglossa_adspersa,19003.76798
Bolitoglossa_alberchi,5553.053734
Bolitoglossa_altamazonica,1973253.333
Bolitoglossa_alvaradoi,3593.742689
Bolitoglossa_anthracina,1115.362988
Bolitoglossa_biseriata,51162.7308
Bolitoglossa_borburata,2806.302802
Bolitoglossa_bramei,26.69123072
Bolitoglossa_capitana,118.5432253
Bolitoglossa_carri,11.98748145
Bolitoglossa_celaque,970.3816482
Bolitoglossa_cerroensis,748.1028736
Bolitoglossa_chica,4250.044177
