,ranges
Capra_walie,844.9318473
Capreolus_capreolus,7256885.952
Capreolus_pygargus,11997231.43
Capricornis_crispus,139673.4316
Capricornis_milneedwardsii,2922818.462
Capricornis_rubidus,86343.27339
Capricornis_sumatraensis,135077.5369
Capricornis_swinhoei,14412.57602
Capricornis_thar,491779.9174
Caprolagus_hispidus,114654.5274
Capromys_pilorides,111094.5604
Caracal_aurata,4070410.751
Caracal_caracal,19121723.49
Cardiocranius_paradoxus,1986148.285
Cardioderma_cor,2247887.192
Carollia_brevicauda,10748131.12
Carollia_castanea,4898799.544
Carollia_manu,31953.32238
Carollia_perspicillata,13795814.51
Carollia_sowelli,790231.0012
Carollia_subrufa,212247.0429
Carpitalpa_arendsi,9827.778368
Carpomys_melanurus,2543.324536
Carpomys_phaeurus,4215.032606
Carterodon_sulcidens,272973.8407
Caryomys_eva,198191.2573
Caryomys_inez,436034.6638
Casinycteris_argynnis,1707516.069
Castor_canadensis,15418841.95
Castor_fiber,3573516.243
Catagonus_wagneri,304455.968
Catopuma_badia,538483.4417
Catopuma_temminckii,337442.178
Cavia_aperea,7003978.947
Cavia_fulgida,293747.5535
Cavia_intermedia,0.293731834
Cavia_magna,50054.72252
Cavia_tschudii,632826.8166
Cebuella_pygmaea,1677203.546
Cebus_apella,3355095.671
Cebus_cay,620932.1763
Cebus_flavius,38947.99042
Cebus_kaapori,190773.8221
Cebus_libidinosus,2612533.637
Cebus_macrocephalus,2645216.341
Cebus_nigritus,879813.2682
Cebus_robustus,119922.9448
Cebus_xanthosternos,466598.2621
Centronycteris_centralis,2377735.657
Centronycteris_maximiliani,5647041.955
Centurio_senex,2085278.077
Cephalophus_adersi,2671.729407
Cephalophus_callipygus,745834.1441
Cephalophus_dorsalis,3572475.048
Cephalophus_harveyi,354882.5858
Cephalophus_jentinki,106603.8395
Cephalophus_leucogaster,1246209.112
Cephalophus_natalensis,897299.2316
Cephalophus_niger,761605.4398
Cephalophus_nigrifrons,3195722.687
Cephalophus_ogilbyi,557613.1714
Cephalophus_rufilatus,2928856.419
Cephalophus_silvicultor,6162520.986
Cephalophus_spadix,6324.260938
Cephalophus_weynsi,1484336.56
Cephalophus_zebra,135869.0813
Ceratotherium_simum,9016934.305
Cercartetus_caudatus,308468.8051
Cercartetus_concinnus,583943.657
Cercartetus_lepidus,103578.8728
Cercartetus_nanus,386715.1175
Cercocebus_agilis,1052401.029
Cercocebus_atys,436957.8747
Cercocebus_chrysogaster,230491.1289
Cercocebus_galeritus,202.2683318
Cercocebus_sanjei,188.1056994
Cercocebus_torquatus,286811.9941
Cercopithecus_ascanius,2618288.989
Cercopithecus_campbelli,617297.58
Cercopithecus_cephus,778923.7046
Cercopithecus_diana,347148.5194
Cercopithecus_dryas,1361.544434
Cercopithecus_erythrogaster,73427.86703
Cercopithecus_erythrotis,55790.58291
Cercopithecus_hamlyni,238296.6652
Cercopithecus_lhoesti,216019.8882
Cercopithecus_mitis,2317317.135
Cercopithecus_mona,616453.5421
Cercopithecus_neglectus,2289599.579
Cercopithecus_nictitans,1337260.362
Cercopithecus_petaurista,530886.2106
Cercopithecus_pogonias,2108875.141
Cercopithecus_preussi,17246.89725
Cercopithecus_sclateri,36090.69889
Cercopithecus_solatus,12126.32346
Cerdocyon_thous,8433408.347
Cerradomys_andersoni,852.0078362
Cerradomys_maracajuensis,963352.9986
Cerradomys_marinhus,13493.47516
Cerradomys_scotti,1644082.596
Cerradomys_subflavus,1461169.543
Cervus_albirostris,747278.4527
Cervus_elaphus,15260559.21
Cervus_nippon,350439.2634
Chacodelphys_formosa,18871.36738
Chaerephon_aloysiisabaudiae,1116974.382
Chaerephon_ansorgei,5630017.495
Chaerephon_bemmeleni,671128.8478
Chaerephon_bivittatus,1892569.944
Chaerephon_bregullae,4645.281444
Chaerephon_chapini,4295184.441
Chaerephon_gallagheri,312.2850927
Chaerephon_jobensis,2337027.698
Chaerephon_jobimena,186280.1945
Chaerephon_johorensis,80663.5617
Chaerephon_major,1759005.296
Chaerephon_nigeriae,4801531.641
Chaerephon_plicatus,2462174.721
Chaerephon_pumilus,7239483.984
Chaerephon_russatus,431745.4475
Chaerephon_solomonis,6936.104884
Chaerephon_tomensis,656.6435635
Chaetocauda_sichuanensis,1190.016143
Chaetodipus_arenarius,77616.8693
Chaetodipus_artus,89251.67338
Chaetodipus_baileyi,283191.3197
Chaetodipus_californicus,106983.528
Chaetodipus_dalquesti,11565.74656
Chaetodipus_eremicus,538908.0952
Chaetodipus_fallax,46883.05104
Chaetodipus_formosus,322115.3858
Chaetodipus_goldmani,58863.38317
Chaetodipus_hispidus,2300212.39
Chaetodipus_intermedius,510469.1138
Chaetodipus_lineatus,11431.7442
Chaetodipus_nelsoni,564417.4908
Chaetodipus_penicillatus,395586.9304
Chaetodipus_pernix,99046.89313
Chaetodipus_rudinoris,118044.1931
Chaetodipus_spinatus,125759.4867
Chaetomys_subspinosus,109582.8993
Chaetophractus_nationi,382547.872
Chaetophractus_vellerosus,1321099.634
Chaetophractus_villosus,2549644.403
Chalinolobus_dwyeri,540246.1436
Chalinolobus_gouldii,7369439.651
Chalinolobus_morio,2316996.727
Chalinolobus_neocaledonicus,16389.21835
Chalinolobus_nigrogriseus,1476703.049
Chalinolobus_picatus,1154336.897
Chalinolobus_tuberculatus,137381.5151
Cheirogaleus_crossleyi,1307.16827
Cheirogaleus_major,37462.66191
Cheirogaleus_medius,126088.7261
Cheirogaleus_minusculus,9.650995582
Cheirogaleus_sibreei,40.52784509
Cheiromeles_parvidens,443817.369
Cheiromeles_torquatus,1329658.212
Chelemys_delfini,530.1227151
Chelemys_macronyx,322053.2099
Chelemys_megalonyx,119249.3535
Chibchanomys_orcesi,2776.440941
Chibchanomys_trichotis,29805.9245
Chilomys_instans,197765.4579
Chilonatalus_micropus,191794.0993
Chilonatalus_tumidifrons,6411.721965
Chimarrogale_hantu,24713.37487
Chimarrogale_himalayica,3308208.167
Chimarrogale_phaeura,3372.287789
Chimarrogale_platycephalus,206393.6204
Chimarrogale_styani,840680.2525
Chimarrogale_sumatrana,5.534097012
Chinchilla_chinchilla,11943.01779
Chinchilla_lanigera,2070.283661
Chinchillula_sahamae,160701.4385
Chionomys_gud,78133.5364
Chionomys_nivalis,890860.1974
Chionomys_roberti,73079.35219
Chiroderma_doriae,2631153.557
Chiroderma_improvisum,1571.086863
Chiroderma_salvini,3419280.879
Chiroderma_trinitatum,9383888.28
Chiroderma_villosum,10414022.38
Chiromyscus_chiropus,426710.9073
Chironax_melanocephalus,177749.1916
Chironectes_minimus,6225421.971
Chiropodomys_calamianensis,14051.82286
Chiropodomys_gliroides,1252666.069
Chiropodomys_karlkoopmani,4489.838985
Chiropodomys_major,732493.3761
Chiropodomys_muroides,193515.2379
Chiropodomys_pusillus,732493.3761
Chiropotes_albinasus,981532.4502
Chiropotes_chiropotes,1363869.729
Chiropotes_satanas,273122.3901
Chiropotes_utahickae,352112.8975
Chiruromys_forbesi,33437.36934
Chiruromys_lamia,34007.75605
Chiruromys_vates,100849.9209
Chlamyphorus_truncatus,405587.0166
Chlorocebus_aethiops,1146145.938
Chlorocebus_cynosuros,3083224.363
Chlorocebus_djamdjamensis,9145.108447
Chlorocebus_pygerythrus,4577375.92
Chlorocebus_sabaeus,1517085.986
Chlorocebus_tantalus,3988337.728
Chlorotalpa_duthieae,10919.24307
Chlorotalpa_sclateri,91855.63919
Chodsigoa_caovansunga,980.1903446
Chodsigoa_hypsibia,423790.1659
Chodsigoa_lamula,15896.43108
Chodsigoa_parca,583028.2492
Chodsigoa_parva,70.45822972
Chodsigoa_salenskii,248.0698676
Chodsigoa_smithii,48063.29134
Chodsigoa_sodalis,15575.9968
Choeroniscus_godmani,2679284.182
Choeroniscus_minor,6413395.025
Choeroniscus_periosus,64963.71684
Choeronycteris_mexicana,1777463.876
Choeropsis_liberiensis,155216.5445
Choloepus_didactylus,4165481.93
