GridCell_Id,species,PiHat,RangeSize_km2,RangeSize_percentile,nseqs
3037,Microtus_agrestis,0.008187135,10818852.76,perc_90,3
3111,Microtus_agrestis,0.008533282,10818852.76,perc_90,17
3014,Microtus_agrestis,0.009106099,10818852.76,perc_90,7
3016,Microtus_agrestis,0.009502924,10818852.76,perc_90,4
3106,Microtus_agrestis,0.009649123,10818852.76,perc_90,2
3105,Microtus_agrestis,0.010045279,10818852.76,perc_90,29
3121,Microtus_oeconomus,0.003508772,18612484.81,perc_90,4
3233,Microtus_oeconomus,0.005701754,18612484.81,perc_90,4
629,Mustela_erminea,0,41253315.79,perc_90,5
2927,Mustela_erminea,0,41253315.79,perc_90,2
2929,Mustela_erminea,0,41253315.79,perc_90,2
3106,Mustela_erminea,0,41253315.79,perc_90,11
3198,Mustela_erminea,0,41253315.79,perc_90,3
3290,Mustela_erminea,0,41253315.79,perc_90,2
3105,Mustela_erminea,0.000116959,41253315.79,perc_90,15
2910,Mustela_erminea,0.000501253,41253315.79,perc_90,7
3293,Mustela_erminea,0.000877193,41253315.79,perc_90,2
3015,Mustela_erminea,0.001253133,41253315.79,perc_90,7
3115,Mustela_erminea,0.001315789,41253315.79,perc_90,4
3013,Mustela_erminea,0.001403509,41253315.79,perc_90,11
3292,Mustela_erminea,0.001403509,41253315.79,perc_90,5
3103,Mustela_erminea,0.001648352,41253315.79,perc_90,14
2928,Mustela_erminea,0.001754386,41253315.79,perc_90,2
3017,Mustela_erminea,0.001754386,41253315.79,perc_90,7
3127,Mustela_erminea,0.001754386,41253315.79,perc_90,2
3016,Mustela_erminea,0.001949318,41253315.79,perc_90,9
3111,Mustela_erminea,0.002339181,41253315.79,perc_90,7
2780,Mustela_erminea,0.002487562,41253315.79,perc_90,2
3126,Mustela_erminea,0.002487562,41253315.79,perc_90,2
3014,Mustela_erminea,0.002631579,41253315.79,perc_90,6
3104,Mustela_erminea,0.002684742,41253315.79,perc_90,33
2834,Mustela_erminea,0.003508772,41253315.79,perc_90,3
3107,Mustela_erminea,0.003508772,41253315.79,perc_90,3
3020,Mustela_erminea,0.003654971,41253315.79,perc_90,4
3105,Mustela_nivalis,0,43722332.23,perc_90,2
2749,Mustela_nivalis,0.000584795,43722332.23,perc_90,3
3017,Mustela_nivalis,0.000877193,43722332.23,perc_90,2
3108,Mustela_nivalis,0.001023392,43722332.23,perc_90,4
3018,Mustela_nivalis,0.001169591,43722332.23,perc_90,3
2839,Mustela_nivalis,0.002631579,43722332.23,perc_90,2
2563,Mustela_nivalis,0.002923977,43722332.23,perc_90,3
2838,Mustela_nivalis,0.003157895,43722332.23,perc_90,5
2931,Mustela_nivalis,0.007017544,43722332.23,perc_90,3
2928,Mustela_nivalis,0.008918129,43722332.23,perc_90,4
2836,Mustela_nivalis,0.009064327,43722332.23,perc_90,4
3111,Mustela_nivalis,0.011422041,43722332.23,perc_90,4
3291,Myodes_rufocanus,0,13113530.79,perc_90,2
3121,Myodes_rufocanus,0.000815993,13113530.79,perc_90,4
3124,Myodes_rufocanus,0.001485608,13113530.79,perc_90,5
3294,Myodes_rufocanus,0.001853999,13113530.79,perc_90,13
3123,Myodes_rufocanus,0.003263974,13113530.79,perc_90,3
3233,Myodes_rufocanus,0.004633278,13113530.79,perc_90,21
3044,Myodes_rufocanus,0.005521556,13113530.79,perc_90,10
3049,Myodes_rufocanus,0.005707603,13113530.79,perc_90,41
2962,Myodes_rufocanus,0.006290549,13113530.79,perc_90,4
3221,Myodes_rufocanus,0.006323949,13113530.79,perc_90,36
2871,Myodes_rufocanus,0.006958624,13113530.79,perc_90,9
3132,Myodes_rufocanus,0.007489654,13113530.79,perc_90,8
2961,Myodes_rufocanus,0.010229809,13113530.79,perc_90,13
3051,Myodes_rufocanus,0.016681238,13113530.79,perc_90,15
3129,Myodes_rufocanus,0.017642342,13113530.79,perc_90,30
3299,Myodes_rutilus,0.002540416,18530225.41,perc_90,5
3208,Myodes_rutilus,0.002635046,18530225.41,perc_90,3
3122,Myodes_rutilus,0.003508772,18530225.41,perc_90,2
3296,Myodes_rutilus,0.003629165,18530225.41,perc_90,7
2961,Myodes_rutilus,0.003654971,18530225.41,perc_90,4
3121,Myodes_rutilus,0.003849115,18530225.41,perc_90,3
3233,Myodes_rutilus,0.005236492,18530225.41,perc_90,60
2962,Myodes_rutilus,0.005263158,18530225.41,perc_90,2
3126,Myodes_rutilus,0.007017544,18530225.41,perc_90,2
3234,Myodes_rutilus,0.011067194,18530225.41,perc_90,6
3105,Myotis_daubentonii,0.012345679,14655028.29,perc_90,3
2719,Myotis_lucifugus,0,12040435.81,perc_90,3
2809,Myotis_lucifugus,0.003217503,12040435.81,perc_90,4
2629,Myotis_lucifugus,0.012612613,12040435.81,perc_90,5
1204,Nasua_nasua,0.002375297,10629131.13,perc_90,2
931,Necromys_lasiurus,0.003329172,11105827.31,perc_90,6
3233,Ochotona_hyperborea,0.003508772,10046990.44,perc_90,3
3328,Ochotona_hyperborea,0.010526316,10046990.44,perc_90,2
1827,Pecari_tajacu,0,15938365.46,perc_90,6
2628,Pecari_tajacu,0,15938365.46,perc_90,2
1828,Pecari_tajacu,0.001064306,15938365.46,perc_90,11
2007,Pecari_tajacu,0.008751245,15938365.46,perc_90,18
1918,Pecari_tajacu,0.010547477,15938365.46,perc_90,13
1917,Pecari_tajacu,0.024849273,15938365.46,perc_90,5
2897,Peromyscus_maniculatus,0.005654762,13030566.48,perc_90,4
2561,Pipistrellus_kuhlii,0.001941748,10723116.75,perc_90,2
2777,Prionailurus_bengalensis,0.000362976,9508868.43,perc_90,5
2691,Procyon_lotor,0,11684182.92,perc_90,4
2871,Procyon_lotor,0,11684182.92,perc_90,2
2690,Procyon_lotor,0.006140351,11684182.92,perc_90,2
2689,Procyon_lotor,0.017488973,11684182.92,perc_90,7
3047,Pteromys_volans,0.006140351,13738630.1,perc_90,5
2777,Pteromys_volans,0.00615963,13738630.1,perc_90,14
2628,Puma_concolor,0,21680508.59,perc_90,2
2986,Puma_concolor,0,21680508.59,perc_90,2
1112,Puma_concolor,0.002597403,21680508.59,perc_90,9
932,Puma_concolor,0.005714286,21680508.59,perc_90,5
2716,Puma_concolor,0.006036266,21680508.59,perc_90,4
2777,Rhinolophus_ferrumequinum,0,9746631.17,perc_90,4
2776,Rhinolophus_ferrumequinum,0.002631579,9746631.17,perc_90,2
1736,Saccopteryx_bilineata,0.0120532,12631738.97,perc_90,4
2961,Sciurus_vulgaris,0.004678363,19812071.22,perc_90,3
3133,Sciurus_vulgaris,0.005571031,19812071.22,perc_90,2
2929,Sciurus_vulgaris,0.007428041,19812071.22,perc_90,3
2927,Sciurus_vulgaris,0.008356546,19812071.22,perc_90,2
1845,Scotophilus_dinganii,0.002923977,10952062.39,perc_90,3
1945,Scotophilus_dinganii,0.002923977,10952062.39,perc_90,3
1764,Scotophilus_dinganii,0.00380117,10952062.39,perc_90,6
1043,Scotophilus_dinganii,0.008354219,10952062.39,perc_90,7
1675,Scotophilus_dinganii,0.015643275,10952062.39,perc_90,4
1765,Scotophilus_dinganii,0.019298246,10952062.39,perc_90,7
3199,Sorex_araneus,0.001972387,13234995.25,perc_90,2
3129,Sorex_araneus,0.002342778,13234995.25,perc_90,3
3027,Sorex_araneus,0.00378087,13234995.25,perc_90,5
